"id","year","college","income","scholarship","hhincome","race"
1,2010,1,168.53499283501,11.1838359571993,125.728812932546,1
2,2010,0,97.8927412377699,17.2533659031615,46.9978886024212,1
3,2000,1,160.699236264075,24.1942726960406,89.5315214902943,1
4,2000,1,171.215490724706,19.6846035774797,104.28328869684,1
5,2000,1,95.4491221741534,24.558611405082,49.5059599202813,1
6,2010,1,188.345392191467,17.6825472759083,143.220774696537,1
7,2000,1,187.949451478968,20.6999650271609,145.026621514139,1
8,2010,0,110.425590473926,17.6400372339413,80.2382937696604,1
9,2000,1,144.926890249872,23.1060574715957,103.55477705042,1
10,2010,1,108.741953995749,11.0436940426007,78.7982214372543,1
11,2000,1,144.044383925764,23.9053495973349,74.3178497817208,1
12,2000,1,132.034913897622,13.9170745247975,83.0104133059667,1
13,2000,1,204.25839135244,11.0778197785839,153.52015894383,1
14,2010,1,112.235133387469,27.5355926668271,102.379566876143,1
15,2010,1,138.464000923357,27.762693008408,73.4485043893021,1
16,2000,0,-9999999,10.7421901356429,71.7197087357675,1
17,2010,1,138.265929488759,23.7642645975575,70.5419408885555,1
18,2010,1,87.773900324228,17.5149471312761,27.8976592475077,0
19,2010,0,88.8349002338079,23.4621596056968,75.4865081630852,1
20,2000,1,184.448276461811,25.9335839515552,161.35720580952,1
21,2000,1,114.406852515379,22.6402129372582,49.7828391432563,1
22,2010,1,173.465928624186,15.7149410899729,142.770287398477,1
23,2010,0,81.3970161504476,11.7444195738062,64.8620664564301,1
24,2000,1,227.23617377439,10.1323264371604,173.966787993176,1
25,2000,1,99.0513052170964,17.4296921025962,51.1183562315106,0
26,2010,1,101.309745586854,28.6773841595277,64.3075488690107,1
27,2010,0,70.4609173895973,13.3182411361486,47.8764812203807,0
28,2000,0,121.667887197326,14.0493909036741,74.0409185737701,1
29,2010,0,97.5441846292619,27.6748891826719,-9999999,1
30,2010,1,114.774050083442,17.9935771552846,36.8971745456307,0
31,2000,0,48.0070333971352,18.5092852544039,24.2015427379733,0
32,2010,1,99.7747291675219,21.9019899237901,52.7498090055112,1
33,2000,1,151.29936772957,26.743199354969,135.360737692669,1
34,2000,1,158.979116119367,11.7167084338143,69.6570419652792,1
35,2010,0,66.4197621518974,19.5665001729503,54.3529913563182,1
36,2000,1,101.864372197967,21.0501569695771,63.5352478576061,1
37,2000,1,178.112591651907,20.7568927202374,166.810687448202,1
38,2000,1,123.348336096833,12.7644397132099,68.4004611060081,1
39,2000,1,108.642345169997,24.5323654031381,44.4163482476067,1
40,2010,0,80.1116779397632,19.3885406479239,37.1476973106234,1
41,2010,1,151.364206784268,11.7713998071849,117.274988583066,1
42,2010,1,102.320184494469,18.7606074707583,40.093417086328,0
43,2010,1,127.485041255251,25.5287142843008,108.629340146538,1
44,2000,0,-9999999,18.7235112953931,75.5693965342952,1
45,2000,1,134.866637709885,18.1844460824504,81.2329787256659,1
46,2010,1,175.778766485621,19.7604941623285,121.012652078882,1
47,2000,1,134.154901290572,22.3971883347258,94.3370510277386,1
48,2010,0,74.0499087352195,25.9444898320362,48.1289161727853,1
49,2010,0,52.0856432516004,21.3012875989079,29.3732208705495,0
50,2000,1,156.770602464017,22.1012745751068,135.175303153206,1
51,2000,0,78.1986823558251,28.2527271378785,52.0135729855555,0
52,2000,1,176.120751398799,17.4956483766437,115.424003431522,1
53,2010,0,86.2966269269859,21.813411610201,68.6215194932786,1
54,2010,1,126.35207323138,21.0546611109748,47.680815897161,0
55,2010,1,170.296601771472,24.1996611049399,136.271255578014,1
56,2000,1,83.7308909390877,10.9067738102749,61.289283716268,1
57,2010,1,92.2946431003649,10.5815935879946,48.8890650545175,0
58,2000,0,77.9174523995465,15.6652177544311,68.4995389860312,1
59,2000,0,-9999999,12.2352710040286,71.1406982002869,1
60,2000,0,129.77976554979,25.1037840079516,62.6712592302224,1
61,2010,0,160.732705344503,25.2946544438601,154.664862047908,1
62,2010,1,-9999999,29.7983529185876,88.8024423848758,1
63,2000,1,145.155129944241,20.8996275113896,116.775080893201,1
64,2010,0,63.623126270218,22.829315350391,42.8341401475683,0
65,2010,1,83.5401486501266,14.5951099507511,32.0935498089774,0
66,2010,1,-9999999,20.0749667780474,71.1232384725335,1
67,2010,1,172.500191857185,24.1647010622546,122.145565525955,1
68,2000,0,77.6076901911619,17.5220308313146,40.3061742459659,0
69,2010,1,113.608209466159,27.699841116555,45.550349580203,1
70,2000,0,-9999999,14.2524593137205,37.1670733842156,0
71,2010,1,100.860391370099,17.0543987629935,35.642179170592,0
72,2000,0,89.4975661527617,12.6316602341831,46.8714872292314,0
73,2010,0,74.8056013547344,26.4453459344804,59.4451548411282,1
74,2010,0,-9999999,16.7108883149922,45.5297932211556,0
75,2010,1,155.579968609646,28.1096827704459,115.945626793967,1
76,2000,1,130.153576914976,11.8248134525493,76.3454679184857,1
77,2010,1,165.317049731285,23.5559271648526,120.727557842987,1
78,2010,1,121.952444210089,21.8240504851565,51.7374717271029,1
79,2010,1,127.899670352109,17.0273700309917,74.9243117281072,1
80,2010,0,99.2003346080839,24.2733269929886,63.7716475063684,1
81,2000,0,-9999999,16.9694936508313,39.1949691496793,0
82,2000,-1,-9999999,13.909383607097,51.6150383552441,1
83,2010,1,100.202583603297,28.8928104424849,80.3227591432179,1
84,2000,1,151.127501812355,22.8030225401744,83.7693830514454,0
85,2010,1,100.762701075848,19.1190886730328,34.6273181167816,1
86,2000,1,140.384594151331,13.9176341891289,84.2871388080528,1
87,2010,0,63.4282015282184,18.8957683043554,33.5839946350465,1
88,2000,1,102.202783699064,28.6435882654041,47.8358239751387,0
89,2000,0,114.612601202814,14.320350876078,53.000631234876,1
90,2010,1,105.751514158707,12.2843063995242,73.5598251182702,1
91,2000,0,147.973495419699,16.6000508377329,106.49340730711,1
92,2000,1,154.232440507945,13.3027711231261,-9999999,1
93,2010,1,100.869119372134,22.3039832757786,54.1319863559606,1
94,2000,1,149.601527198089,16.3089226419106,69.2553671973079,1
95,2010,1,149.836325678137,10.0314523419365,103.761017982339,1
96,2010,1,127.075244739084,26.196071873419,100.95278427536,1
97,2000,0,91.802083491349,24.4601696543396,56.821268263929,0
98,2010,1,100.733567176385,13.6679161619395,38.6850561536374,0
99,2000,0,83.8958970709498,23.4463051659986,46.4582327664361,0
100,2000,0,88.3672407463872,16.9599430868402,67.7149344579812,1
101,2010,1,179.409321934915,25.5297235446051,141.280830858503,1
102,2010,1,171.990585418616,13.5198383731768,103.535665578906,1
103,2010,0,146.336930100683,10.2690039621666,143.711447340858,1
104,2000,1,114.184085636854,24.0012198174372,26.2799971927535,0
105,2000,-1,-9999999,15.1257055951282,75.1322295824682,1
106,2000,1,104.512988261176,24.5602333080024,57.7718188641098,1
107,2010,1,163.666088450397,27.2594988532364,116.936129761526,1
108,2000,1,118.200600875125,17.2508758166805,80.6857343377611,1
109,2010,1,101.477247122931,28.3961905818433,65.907767419121,1
110,2010,1,130.903771174607,16.6064053354785,68.1749904284148,1
111,2000,1,109.702395733865,13.3730399096385,63.4535094980171,1
112,2010,1,86.800928401912,11.144355032593,29.7816804109125,0
113,2000,1,135.131559876085,21.2014966225252,63.044378743465,1
114,2000,1,132.071060808209,16.2243231059983,76.902967938592,1
115,2010,1,140.233195223152,12.3957948666066,91.6714378290104,1
116,2010,1,137.204258011964,19.3355547077954,119.323677024247,1
117,2010,1,-9999999,11.8296755803749,130.262262533161,1
118,2000,0,68.4518885252983,13.8057239586487,39.6089460131063,0
119,2010,1,123.094638509453,20.0697001488879,-9999999,0
120,2010,1,157.184690989676,22.3996070446447,91.7351051713518,1
121,2000,1,-9999999,28.4667961439118,96.9097584482317,1
122,2010,1,-9999999,16.7931989952922,55.9830970807661,1
123,2010,1,-9999999,20.63922427129,94.3793055653168,1
124,2010,1,-9999999,24.6182279661298,64.7194199400346,1
125,2000,0,119.677342448264,17.2931076399982,70.2671764159689,1
126,2010,1,110.134944253071,20.9881530934945,25.8425575779069,0
127,2000,-1,-9999999,25.6360338628292,60.0493459545336,1
128,2000,1,182.433012582667,13.5419374005869,119.790019029426,1
129,2010,1,117.438624686841,22.8284694440663,72.4957747555092,1
130,2000,0,61.6521036215486,26.1202259687707,34.8074315119141,0
131,2010,1,117.59904524266,22.6218113861978,94.4011040002279,1
132,2000,0,120.629638273665,15.1491275848821,97.455787407067,1
133,2000,0,99.9475434696841,24.0367058338597,90.431231623812,1
134,2000,1,-9999999,22.3416775139049,100.150580801977,1
135,2010,1,189.563332622893,14.3430594308302,138.344701413508,1
136,2010,1,152.941676994161,18.1563637265936,110.227467556721,1
137,2010,1,125.809024604945,14.4201251026243,72.5578412345592,1
138,2000,1,101.320762533951,24.858660181053,43.9972481429758,1
139,2000,1,141.18379792909,24.1464129928499,80.4487904928428,1
140,2010,1,137.154049184729,24.7204385185614,87.4096699436589,1
141,2000,1,127.245845387778,28.0000954726711,81.0591304059962,1
142,2010,1,99.037751325601,16.7554567568004,54.9856653691239,1
143,2010,1,154.298356134395,20.6555371871218,85.8296482920501,1
144,2010,1,146.487111325562,10.9983592107892,80.9422287468231,1
145,2010,1,109.781792551361,21.1484216712415,50.5049926547283,0
146,2000,1,111.289274910058,27.0341272372752,75.5244300124329,0
147,2000,0,118.880740655949,17.7815287094563,104.135350287368,1
148,2010,1,125.452172873185,13.0328153725713,99.9616810821296,1
149,2010,0,44.5719281217942,27.2970719262958,39.2953082925743,1
150,2000,0,58.8015004693527,29.1457259049639,58.6037481289188,1
151,2010,1,82.8278028402766,29.6369002060965,31.4119402851957,0
152,2010,1,169.382485506835,21.7045393353328,96.6941856526194,1
153,2000,1,151.661778118828,24.1249581100419,85.1404328556953,1
154,2010,1,93.1682831385976,28.0624505504966,66.631170657627,1
155,2000,0,97.1671180252886,16.9297190476209,67.0386580240152,1
156,2000,1,159.984313223566,13.1161789270118,118.14267821333,1
157,2010,1,138.181372649919,16.0259955376387,99.4562391279354,1
158,2000,1,127.144841448803,13.3526831259951,59.3344182870628,1
159,2000,0,66.1591038728965,25.0039226002991,31.9021821454014,0
160,2010,1,101.265064499295,25.4283556016162,86.0936003498696,1
161,2000,1,184.363755753648,29.5305760484189,106.488696596253,1
162,2000,1,140.255873751504,15.1653311774135,81.849759970187,1
163,2000,1,199.723116048341,22.793378168717,151.324972369186,1
164,2000,1,166.822403155958,21.0095184016973,105.426266837268,1
165,2010,0,80.8462671482028,23.9335654675961,73.4945080243694,1
166,2010,-1,-9999999,20.2963730040938,48.1146635513955,1
167,2010,1,117.186183421617,21.0357034904882,57.0660844620025,1
168,2000,1,111.963957866531,28.4871936868876,35.6280197067017,0
169,2010,1,100.996308200275,28.2163106277585,31.9537322650303,0
170,2000,1,105.467706669058,20.120617817156,59.3404474620553,1
